Name,Job,Company,Linkedin,Note,Event,Speaker,Headshot,swag?
Bas van Alphen,IT Chapterlead SRE,ING,https://www.linkedin.com/in/basvanalphen/,"I am involved in organizing SREday Amsterdam at ING, mainly focusing on the practical side of making it all run smoothly. That meant logistics, speaker coordination, and yes, making sure everyone was well fed and caffeinated. I also joined a panel discussion on the state of reliability practices and tooling in banks, which sparked some honest and interesting conversations about where we are, what still hurts, and what is slowly getting better.",Netherlands,All SREday locations,Bas van Alphen.png,Ready
Samantha Burattini,Customer Journey Expert,ING,https://www.linkedin.com/in/samantha-burattini/,"I helped run the inaugural SREday at ING Amsterdam, focusing on the behind-the-scenes work that makes an event actually function. From schedules and coordination to the thousand small details people never see, my role was about creating a smooth, calm experience for speakers and attendees alike. It was rewarding to support an event built for practitioners, and I’m proud to contribute in ways that make community spaces feel thoughtful, organized, and human.",Netherlands,All SREday locations,Samantha Burattini.png,Not yet
Stephan Mousset,Global Product Manager Performance & Resilience Engineering Platform,ING,https://www.linkedin.com/in/stephanmousset/,"I met the SREday team a couple of years ago at SREday London, and the quality of the event stuck with me. Later, helping organize SREday Amsterdam at the ING office confirmed that the same community focused spirit carries through everywhere. It’s a solid group of people doing things for the right reasons.",Netherlands,All SREday locations,Stephan Mousset.png,Not yet
William Ravensbergen,Developer Advocate,ING,https://www.linkedin.com/in/william-ravensbergen/,"I co-organized the very first SREday hosted at ING Amsterdam. I worked closely with the SREday team to shape a speaker lineup that felt thoughtful, practical, and genuinely useful for people doing the work day to day. Being part of this from the inside was energizing, and I am genuinely happy to keep showing up and helping the SRE community grow in ways that feel grounded and welcoming.",Netherlands,All SREday locations,William Ravensbergen.png,Ready
Bruno Paiuca,CEO,Opsteam,https://www.linkedin.com/in/brunopaiuca/,"SREday is one of the few places where people talk honestly about where systems actually fail. I presented on authorization, and the conversations quickly moved past tools into real-world gaps and tradeoffs. What stood out is how naturally reliability and security come together in this space. It’s a room full of people who care about building things the right way, not the easy way. That’s exactly the kind of community I want to keep growing in the Latin America.",Latin America,All SREday locations,Bruno Paiuca.png,Not yet
Levi (Levinux) Leopoldino Alves,Founder,DOUGBR - DevOps User Group Brazil,https://www.linkedin.com/in/levinux/,"I helped support and promote the first SREday in Latin America, contributing to the growth of the event and its community. As a HashiCorp Latin America Ambassador and co-organizer of CNCF Campinas SP, my involvement in various community initiatives reinforced my belief that strong technical communities are built through collaboration and shared purpose. I am grateful to everyone who helped make this first edition possible.",Latin America,All SREday locations,Levi (Levinux) Leopoldino Alves.png,Not yet
Marcos Novelli Harispe,Software Engineer,LoopStudio,https://www.linkedin.com/in/marcos-novelli-harispe-a6339a129/,"After attending both the San Francisco and Campinas editions of SREday, I saw firsthand how strong and genuine this community is. That experience pushed me to step up and support Miko, Mark, and the other Latin American ambassadors in expanding SREday’s presence across the region. I’m excited to help grow something that already feels so impactful.",Latin America,All SREday locations,Marcos Novelli Harispe.png,Not yet
Rod Anami,Lead SRE,Kyndryl,https://www.linkedin.com/in/rodanami/,"I've co-organized SREday Campinas, the first conference of the series in Latin America. Being part of an event of this magnitude reinforced my belief that strong communities are built by trust, collaboration, and an amazing team working towards a shared goal. I am grateful to everyone who helped make SREday Campinas possible and truly memorable!",Latin America,All SREday locations,Rod Anami.png,Ready
Sharone Zitzman,Founder,RTFM Please,https://www.linkedin.com/in/sharonez/,I first met Mark back in 2020 and started connecting speakers from my community with both online and in person events. I’ve been following SREday ever since and have enjoyed watching it grow while staying true to itself. I’m excited to keep working together and see where this collaboration continues to lead.,Israel,All SREday locations,Sharone Zitzman.png,Not yet
Balaji Venkatesan,Co-Founder / Senior SRE Architect,GuhaTek,https://www.linkedin.com/in/balajivenkatesan2212/,"I co-organized the first SREday India! Through my work at GuhaTek, I help organizations operationalize reliability by connecting SRE principles, observability, and chaos engineering to real business outcomes, not just tooling. For me, SRE is about engineering discipline, shared responsibility, and continuous improvement, and communities like SREday help make that real at scale. We’re proud to support this initiative and committed to growing the SREday community across cities in India!",India,All SREday locations,Balaji Venkatesan.png,Not yet
Clarence Selestin,SRE Manager,Ford Motor Company,https://www.linkedin.com/in/clarence1982/,"Reliability at scale only matters when it shows up for real users, and that’s why SREday India resonates with me. Leading global SRE for Ford’s eCommerce platforms has reinforced that resilience is built through strong engineering fundamentals, operational discipline, and shared ownership across teams. Events like SREday create the space to move beyond theory, talk honestly about failures, and learn what actually works in production.Excited to see the community grow across cities as more practitioners come together to raise the bar on reliability.",India,All SREday locations,Clarence Selestin.png,Not yet
Siva Bagavathi,SRE Leader,GuhaTek,https://www.linkedin.com/in/kbsivacse/,"I’m happy to be partnering with SREday to bring the series of conferences to India. As Co-Founder of GuhaTek, I work closely with engineering teams on SRE, SLO-driven reliability, chaos engineering, and observability, with a strong focus on learning from real incidents and building resilient systems. I believe meaningful engineering communities are built on trust, openness, and shared learning, not just tools or frameworks. We’re excited to support SREday India and look forward to growing this community across cities in India!",India,All SREday locations,Siva Bagavathi.png,Not yet
Birol Yildiz,CEO & Co-Founder,Ilert,https://www.linkedin.com/in/birolyildiz/,"What started as a casual conversation at SREday Amsterdam turned into a brand new adventure in Germany. From that moment on, supporting SREday through ilert as both sponsor and host felt like a natural next step. I’m excited to see how this grows and what it evolves into over time.",Germany,All SREday locations,Birol Yildiz.png,Yes!
Poone Mokari,Co-founder,Ewake,https://www.linkedin.com/in/pmokari/,"I attended SREday London and left inspired by the energy and openness of the community. That momentum led me to work on bringing the brand to France, where we hosted our first successful edition in November 2025. I’m excited to keep building and to see how the community continues to evolve.",France,All SREday locations,Poone Mokari.png,Ready
Dewan Ahmed,Principal Developer Advocate,Harness,https://www.linkedin.com/in/diahmed/,"I first met Mark virtually in 2021 at Conf42 SRE, and since then I’ve watched him and Miko build something truly meaningful. Their commitment to community building over the past few years has brought practitioners from all walks of life together, both online and in person. I’m excited to be part of what comes next.",Canada,All SREday locations,Dewan Ahmed.png,Yes!
