,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,confirmed,Deepak Ramchandani Vensi & Luca Lanziani,1,1,Nearform,Deepak Ramchandani Vensi & Luca Lanziani.png,https://www.linkedin.com/in/deepakrv/,https://www.linkedin.com/in/lucalanziani/?skipRedirect=true,,,You can't retrofit self-healing: designing applications AI agents can operate,"Agentic AI and AI SRE is everywhere in demos; but production-grade, self-healing operations are rare, because an agent can only remediate what your systems let it understand.
This talk argues that reliable self-healing starts at design time, with AI-native engineering: build applications that emit the right signals (meaningful SLIs, structured events, rich context) so AI agents can detect, diagnose, and safely remediate issues on their own.
Drawing on real-world experience delivering production systems in complex, regulated environments, we’ll cover:
How to instrument for autonomy rather than dashboards,
How to keep agents inside guardrails with auditability and human oversight built in from day one
How self-healing translates into measurable outcomes: less toil, lower operational cost, and higher reliability.
Attendees will leave with a practical approach to designing signal-rich applications and introducing safe, production-grade AI-driven self-healing into their own platforms.",,"Luca Lanziani is Head of DevOps and Platform Engineering at Nearform, where he helps engineering teams use AI in development in ways that actually improve delivery; not just how fast code gets written. His work sits at the intersection of AI Engineering, Platform Engineering, and software delivery, with a focus on the full path from intent to production: specs, agent workflows, review, testing, deployment, and clear ownership once software is live. Luca builds his AI Engineering work on a deep platform and DevOps background: workflows, review systems, automation, and accountability, so AI-assisted development holds up in real organizations, not just demos.
Deepak is the Global Head of Consulting at Nearform. He’s a technology transformation leader who specialises in delivering large-scale platforms and solutions across data, AI, cloud and modern engineering practices. He’s helped deliver complex change at enterprise scale for some of the world's largest brands, lately with key focus on AI Native Engineering and AI SRE."
,confirmed,Leo Visser,1,1,OGD ict-diensten,Leo Visser.png,https://www.linkedin.com/in/leo-visser-4894a8227/,,,,The green pipe: GreenOps decides where you’ll pop,"Just run the pipeline again! An expression not unfamiliar, but have you ever considered how wasteful it is? With GreenOps you can reduce the environmental impact of your pipelines so that re-runs are less costly! In this talk, I’ll demonstrate how to build a CI/CD pipeline that uses energy-emission data to decide when it’s best to run. You’ll learn how to cut down on compute cycles by running only the tests actually impacted by a change. I’ll also show you how scanning your deployment templates can reveal more sustainable options to improve your deployments. The time to worry about our environment is here already! So why not make your pipelines greener, reduce your carbon emissions, and save money at the same time? Join my talk and find out how!",,"Active in the IT industry since 2012, Leo Visser is a Subject Matter Expert for Azure and AI Foundry at OGD. He advises organizations on AI, automation, and cloud architecture, combining tools like PowerShell, Power Platform, Azure Logic Apps, and native Azure services. His work strongly focuses on security, sustainability, and long-term value. Leo is a Microsoft PowerShell MVP."
,confirmed,Andreas Grabner,1,1,Dynatrace,Andreas Grabner.png,https://www.linkedin.com/in/grabnerandi/,,,,Stranger Platforms: The Two Sides of Observability and Resiliency in Your IDP,"Your Internal Developer Platform lives in two worlds. In the Right Side Up, developers rely on self‑service observability and resiliency to build, deploy, operate and debug their apps. In the Upside Down, the platform itself must be observable to ensure its reliability, performance, resiliency and to understand usage patterns and adoption. The twist? these two worlds are not separate. Improving observability and resiliency of the platform directly improves the observability and resiliency for the applications built on top of it. Just like in Stranger Things, observability and resiliency becomes the bridge that connects both realities In this talk you learn real-world OpenTelemetry-based best practices to observe the core layers of your platform such as your Git, Argo, Backstage and k8s! You learn how to derive SLOs from that data to increase resiliency for your platform and the apps and services deployed through your platform!",,"Andreas Grabner (@grabnerandi) has 25+ years of experience as a software developer, tester and architect and is an advocate for high-performing cloud scale applications. He is a CNCF ambassador, contributor to the CNCF project keptn, Co-Author of Platform Engineering for Architects and a Fellow DevRel for Dynatrace. Andreas is also a regular contributor to the DevOps, Platform Engineering and Cloud Native community and a frequent speaker at technology conferences. In his spare time you can most likely find him on one of the salsa dancefloors of the world!"
,confirmed,Louis Fradin,2,1,AIS,Louis Fradin.png,https://www.linkedin.com/in/louisfradin/,,,,"Topology, Not Telemetry: Tracing Cascading Cloud Failures From the 500 to the Commit","On 18 November 2025, a permissions change in one internal database took down Cloudflare's Workers KV, Access, Turnstile, and Dashboard for over three hours, and a large slice of the web that sits behind Cloudflare went dark with it. Monitoring caught the spike in seconds. Finding the lead still took hours, because the real chain ran from that permissions change, through a feature file that quietly doubled in size, into the Bot Management engine, and out to every product downstream. That chain wasn't in the telemetry. It was in the topology. Most London platform teams know the smaller version of this every week: ten teams ship into one shared platform inside the same hour, the board lights up, and not one dashboard tells you which deploy lit it. The dependency graph is the data source that does. We'll walk the Cloudflare outage with a reconstructed topology in hand, next to the official postmortem. That means building the graph from what you already run, AWS, Kubernetes, Terraform, GitHub, and your monitoring, then versioning it through time, so ""what changed between 14:23 and 14:47?"" becomes a query instead of a guess. Once it's there, an AI agent can walk a graph it didn't invent, getting from alert to the breaking commit in seconds with the affected customers already attached. In one customer's production graph, that walk took about thirty seconds, against the twenty minutes to two hours a human familiar with the code needs to do it by hand.",,"Louis Fradin is a Developer Advocate & Backend Engineer at Anyshift, where he's helping build the AI context layer for production systems, giving teams the infrastructure graph they need so AI agents can actually understand what's running in prod. His path to SRE started deep in the stack: four years writing Linux drivers and managing HPC infrastructure for the French Ministry of Armed Forces, followed by three and a half years at Ubisoft building and operating Kubernetes clusters at scale for game servers with Go, Temporal, Talos, and OpenTelemetry. He speaks regularly about this work: Context Engineering for DevOps: How Agents Learn Your Infrastructure at DevOpsCon Amsterdam 2026, 25,000 servers at Ubisoft (with Vincent Behar) at TalosCon 2024 in London, Talos chez Ubisoft pour nos serveurs de jeux at Cloud Native Paris 2024, and Continuous Container Checkup at CloudNord 2023. For this talk in particular: I've spent the last year building and operating Annie, Anyshift's AI-SRE agent, and the temporal graph engine that feeds it. The Cloudflare case study is one I've walked through with our own customers on their own graphs, including the MotherDuck team, whose Head of Infra, Hilary Brennan-Marquez, put the speed-up this way: ""a process that would have taken a human familiar with the code 20 minutes to 2 hours, Annie did in 30 seconds."
,confirmed,Michael Cade,2,1,Veeam Software,Michael Cade.png,https://www.linkedin.com/in/michaelcade1/,,,,"The Hypervisor Hunger Games: Protecting VMs, DevOps Tooling, and State via GitOps","Kubernetes has officially evolved from an application platform into the core operating system for enterprise infrastructure. With the rise of VMs on Kubernetes through projects like KubeVirt, SREs are now managing massive legacy virtual machines right alongside ephemeral containerised microservices and critical DevOps control planes like GitHub and Jira. When your entire engineering velocity depends on this unified stack, treating data protection as an afterthought or a manual checkbox is an operational hazard. This session outlines a modern strategy for data resilience, demonstrating how to treat your backup infrastructure entirely as code. We will walk through how to integrate immutable data protection policies directly into your declarative GitOps pipelines (ArgoCD). You will learn how to handle the massive data footprints of KubeVirt VMs, safeguard your vital DevOps tooling registries, and automate multi-cluster recovery workflows so that when disaster strikes, your state restores just as quickly as your code.",,"Michael Cade is a seasoned technology executive with over 20 years of experience in the data protection space. He is currently serving as the Global Field CTO for a leading cloud-native and open-source data protection company.
Exploring the world of Cloud-Native and OSS software and raising awareness that there is still very much a requirement to protect data and workloads within these platforms.
Prior to this role, Michael held various technical roles within Veeam joining in 2013 as a Systems Engineer and then moving to the product strategy team to focus on the wider Veeam strategy of creating content and sharing within the community.
A big focus for Michael has been based on 3 things, Raising Awareness, Driving Adoption and showing the Art of the possible."
,confirmed,Alttaf Hussain,2,1,Yoti,Alttaf Hussain.png,https://www.linkedin.com/in/alttaf/,,,,From Waterfall to Cloudburst,"The SDLC has compressed. Waterfall gave us months between intention and production, Agile gave us weeks. AI-assisted development gives us the cloudburst: intention becomes shipped code almost immediately. Most organisations are absorbing this flood with drainage systems designed for drizzle.
This talk introduces a practical framework for AI adoption built on one governing rule: no compression capability unlocks until its matching reservoir exists. Compression (spec-driven development, agentic loops, AI-generated code at volume) creates velocity. Reservoirs (review architecture, policy-as-code, feature flags, chaos engineering) create the capacity to absorb it safely. Teams that build compression without reservoirs don't move faster; they flood.
Drawing on experience shipping regulated digital identity products at Yoti, including production AI evaluation systems combining deterministic checks, LLM-as-judge, and human-in-the-loop validation, I'll close with the emerging accountability gap when AI agents act on behalf of humans, and why SREs will feel it first.",,"Alttaf is Director of Engineering & AI Innovation at Yoti, where he has spent nearly a decade shipping regulated digital identity products including eSignatures, verifiable credentials, and verified calls. He holds a patent in the eSignature space and has built production AI evaluation systems for regulatory monitoring. His work focuses on how engineering teams adopt AI safely: compressing delivery without outrunning their capacity to absorb it."
,confirmed,Richard Simon,2,1,T-Systems,Richard Simon.png,https://www.linkedin.com/in/richard-simon-0272768a/,,,,SRE State Of Play,"This talk will focus on the latest developments affecting the SRE space, including the proliferation of AI tools and how both Platform Engineering and Observability influence SRE. There will be information from the latest events, enterprises and the SRE Report 2026. Key takeaways are, learning about the latest developments influencing the SRE space, the technologies in demand and upcoming that help SRE practitioners and strategic tips on how to navigate the high seas of supporting business services by crafting an SRE Operating Model.",,"Richard Simon is a CTO and a Cloud Native, Open Source and GenAI advocate with 36 years of IT industry experience, focusing on Cloud Computing, in the last 15 years.
He is a highly structured, pragmatic and opinionated IT leader who's accumulated a vast set of varied experiences, working at prestigious IT vendors, Cloud Consultancies and Global Systems Integrators, such as IBM, Lenovo, SUSE, Mirantis, Heptio, World Wide Technology (WWT), Contino and T-Systems.
Richard is the host of the YouTube channel, Cloud Therapist, and enjoys sharing his insights and challenging his audience with thought-provoking content, as well as during his public speaking engagements through conference keynotes and as host to various events."
,confirmed,Yitian Xu,2,1,Alibaba Cloud,Yitian Xu.png,https://www.linkedin.com/in/yitian-xu-10230a7/,,,,AI-Native SRE at Alibaba Cloud,"How Alibaba Cloud applies AI to real SRE workloads at cloud scale.
How AI helps engineers move faster from alert to understanding: triaging noisy signals, correlating telemetry, summarising incident context, and suggesting likely causes.
How AI can support root-cause analysis, capacity forecasting, incident copilots, postmortem learning, and guarded remediation without removing human accountability.
How to build the foundation for AI-enabled SRE: observability pipelines, runbook knowledge bases, incident history, tool permissions, audit trails, confidence scoring, and rollback paths",,"Yitian Xu is Head Solution Architect for the UK&I, Nordics, and Baltic team at Alibaba Cloud, where he shapes the cloud, AI, and enterprise architecture strategies behind some of the region's most ambitious digital transformations — including key accounts such as BP, Unilever, Lego, and IKEA. With over 15 years across AI, IT, Cloud Computing, Enterprise Architecture, ITIL, Big Data, and DevOps, he sits at the intersection of large-scale infrastructure and the next wave of intelligent systems. He's here to swap ideas with builders pushing the frontier of multi-agent, real-world AI."
,confirmed,Ozlem Tanrikulu,2,1,Near East University,Ozlem Tanrikulu.png,https://www.linkedin.com/in/ozlemtanrikulu/,,,,Finding the 33% Your Kubernetes Clusters Are Wasting,"I kept asking this question on our EKS clusters. kubectl top gives percentages, not dollars. AWS Cost Explorer sees instances, not pods. Every tool that connects the two wanted me to deploy Helm charts, agents, and dashboards. I just wanted a number. So I built Burn, an open-source CLI that reads your kubeconfig, fetches real-time pricing from AWS and Azure APIs, and gives you per-namespace cost breakdown in 30 seconds. No agent, no dashboard, no cluster changes. Running it on production, I found 33% idle capacity ($117/month on a 5-node cluster), a pod requesting 500m CPU but using 0.12m, and debug pods nobody remembered deploying. I deleted the waste that same day. In this talk I'll cover: - How Burn splits node cost into CPU and RAM using ratio-based pricing - Why P95 metrics matter more than averages for rightsizing - How we detect Ingress-based load balancers that other tools miss - Honest trade-offs of an agentless approach vs full platforms like Kubecost Attendees will leave knowing how to identify idle resources, understand Kubernetes cost allocation math, and evaluate the right level of cost tooling for their clusters.",,"Cloud/DevOps Engineer who enjoys solving complex problems and building efficient, scalable systems. My expertise includes Kubernetes, AWS, and CI/CD pipelines, with a strong focus on automating processes to simplify developers' workflows. Additionally, I maintain a supercomputer (HPC) at NEU IBM Center, ensuring it runs at peak performance for high-demand tasks. Creator of Burn, an open-source Kubernetes FinOps CLI."
,confirmed,Seema Sharma,2,1,Microsoft,Seema Sharma.png,https://www.linkedin.com/in/sesharma/,,,,AI Agents in the Enterprise: The Reality Behind the Hype,"Everyone is talking about AI agents, but most organisations are still working out how to create real business value from them and, more importantly, how to operate them safely and reliably at scale.
Over the past 18 months, I've worked with some of Microsoft's largest enterprise customers across engineering, construction, energy and professional services as they move from AI experimentation into production. The conversations are no longer about chatbots and copilots—they're increasingly about autonomous workflows, governed AI agents, and systems that interact with critical business processes.
In this session, I'll share what customers are actually building today, where they're seeing value, and the operational challenges they're encountering along the way. We'll explore why reliability, observability, governance and operational readiness are becoming as important as the AI models themselves.
Topics covered include:
The shift from copilots to agentic AI
Real customer use cases and lessons learned
Common governance and operational challenges
What SRE and platform teams need to prepare for
How organisations can scale AI safely without introducing new operational risk
This isn't a session about AI hype—it's a practical look at what is happening on the ground today and what it means for the next generation of enterprise workloads.",,"Seema Sharma is a Senior Specialist at Microsoft focused on Azure, Data and AI transformation across Microsoft's largest enterprise customers in the UK. She works with organisations to modernise data platforms, adopt Microsoft Fabric, implement AI solutions, and establish the governance and operating models required to run these technologies at scale. Her recent work has centred on helping enterprises move from AI pilots to production-ready agentic AI solutions that deliver measurable business outcomes."
,confirmed,Jaroslav Pantsjoha,2,1,Cognizant,Jaroslav Pantsjoha.png,https://www.linkedin.com/in/johas/,,,,"We Figured Out the Build Phase. Now, Let's Solve the Agent Run Phase","We know how to build an agent platform. The build side is staffed, the patterns are published, and the demos work. What almost nobody has solved is the run: who owns the agent on a Tuesday when its behaviour drifts, the git diff is empty, and the platform dashboard is still green?
Deployed to production is not the same as approved to operate live. Between the two sit four acceptance tracks — security, data, compliance, operations — each needing a named owner, and decision latency has quietly replaced engineering as the bottleneck.
This talk is an enabling session, not a gap lament. Solving for a single business unit is fine for the POC phase; scale needs an operational platform with a whole-organisation SLA — agent registry, gateway, identity, named Day-2 ownership, and a lifecycle plan for multi-agent systems that keep evolving after go-live (models improve, harnesses get tweaked, tools and data get bolted on).",,"Jaroslav Pantsjoha is a Google Developer Expert and Technical Director at a global consultancy, presently leading agentic AI solution delivery as Principal Solution Architect for enterprise clients in EMEA. An avid technologist with 20+ years taking infrastructure, platforms, and now AI agents from demo to production."
,confirmed,Gabriel Okiri,3,1,Admiral Group Plc,Gabriel Okiri.png,https://www.linkedin.com/in/okirigabriel/,,,,"Automate the Work, Not the Thinking: Why Disaster Recovery Comes First","Automation promises speed but speed without judgment is how a routine storage migration corrupts a live production database in minutes. While reducing EBS storage across a 142-server fleet targeting roughly 8TB of savings worth an estimated $8,000–$15,000 one database server had quietly fallen outside the disaster recovery checklist. When the automation ran, that single blind spot let a live rsync corrupt roughly 700GB of production data. This talk pulls back the curtain on the reliability engineering behind the recovery: reading metrics and logs in real time to confirm system health, why keeping the old volume until verification turned near-disaster into a clean rollback, and why the real failure wasn’t the script it was a gap in DR coverage nobody caught until production found it. You’ll leave with a principle every SRE should tattoo on their runbooks: disaster recovery has to cover every system by default, not just the ones you remembered because automation is only ever as safe as the recovery plan standing behind it.",,"Gabriel Okiri is a Senior Platform, DevOps & Cloud Security Engineer with 5+ years of experience spanning financial services, logistics, and AI. My work centers on infrastructure automation, cloud reliability, and recovering production systems when things go sideways because they always eventually do. I have also built AI agents and MCP (Model Context Protocol) integrations that help DevOps teams offload repetitive troubleshooting so they can focus on the judgment calls that actually matter."
,confirmed,Anwaar Hussain,3,1,AWS,Anwaar Hussain.png,https://www.linkedin.com/in/anhussain/,,,,Automating CI/CD Pipelines for Landing Zone Accelerator on AWS,"Organisations deploying multi-account AWS environments struggle with slow, error-prone manual infrastructure deployments that take 45-90 minutes per cycle. This talk shows how to extend AWS Landing Zone Accelerator with automated CI/CD pipelines supporting both Terraform and CloudFormation, delivering rapid cross-account deployments with built-in security scanning, validation, and governance controls. You'll learn how a hub-and-spoke architecture centralises pipeline operations, implements least-privilege IAM, and maintains compliance through automated tooling. Based on a published AWS Developer Blog post and open-source solution deployed in UK Public Sector environments.",,"Anwaar Hussain is a Cloud Infrastructure Architect at AWS, where he specialises in architecting, automating, and developing cloud solutions with a strong focus on security compliance. He is a member of the AWS Golden Jacket UK Community and author of posts on the AWS Developer Blog, Dev Community, and Medium. He is passionate about helping organisations build secure, scalable infrastructure on AWS and contributes to open-source solutions on AWS Samples. Outside of work, Anwaar enjoys travelling, cooking, spending quality time with family, and learning new languages."
,confirmed,Trupti Kolekar,3,1,GBST,Trupti Kolekar.png,https://www.linkedin.com/in/truptikolekar/,,,,Beyond CPU and Memory: Reliability Signals for Production AI,"AI systems are moving from demos into production, but operating them reliably requires more than the traditional CPU, memory, uptime, and error-rate signals.
As LLMs, RAG systems, vector databases, AI agents, and GPU-backed inference services become part of real customer-facing environments, SRE teams are being asked to support a new class of workload. These systems do not always fail like traditional web applications. A request can return HTTP 200 while the user still experiences slow token generation, poor retrieval quality, broken tool calls, model rate limits, fallback failures, or unexpected cost spikes.
This talk looks at AI workloads through an SRE lens. Instead of focusing on whether AI will replace SREs, it explores the opposite problem: what happens when AI itself becomes the production system that SRE teams must keep reliable?
We will walk through the reliability path of a modern AI application, including the API layer, prompt gateway, model server, vector database, external model provider, GPU infrastructure, queues, fallbacks, and agent/tool-call workflows. From there, we will map traditional SRE concepts such as SLIs, SLOs, observability, capacity planning, progressive rollout, rollback, and incident response to AI-specific production risks.
The session will cover practical AI workload indicators such as Time to First Token, end-to-end inference latency, tokens per second, queue depth, GPU saturation, retrieval success, fallback success, rate-limit errors, and cost per request. We will also discuss why CPU and memory alone are often not enough for scaling LLM inference, and why AI systems need visibility across infrastructure health, model-serving behaviour, retrieval quality, dependency health, and user experience.
Attendees will leave with a simple production readiness framework for AI workloads: define the user journey, choose meaningful SLIs, set realistic SLOs, observe the full inference path, plan for capacity and cost, design safe fallbacks, prepare rollback strategies, and treat AI systems as critical production services rather than impressive demos.",,"Trupti is a Senior Site Reliability Engineer and Co-Founder of OpsCortex Labs, focused on Kubernetes, SRE, observability, cloud infrastructure, and AIOps. She creates practical engineering content that simplifies production reliability concepts using diagrams, real-world examples, and incident-focused explanations. Her work has reached 100K+ engineers across the DevOps and SRE community, with 1M+ impressions on technical content.
She holds certifications including CKA, AWS, Linux, and HashiCorp, and is passionate about helping engineers understand complex production systems with clarity, strong fundamentals, and practical automation."
,confirmed,Paschal Ifediora,3,1,Scrubbe,Paschal Ifediora.png,http://www.linkedin.com/in/paschio,,,,Beyond Root Cause: What Should Happen After the Alert?,"Every SRE knows the feeling. An alert goes off, Slack lights up, dashboards are everywhere, and suddenly everyone is trying to answer the same questions: What changed? Is this related? What’s the safest thing to do next?
We’ve become very good at detecting incidents, but responding to them is still surprisingly manual. We jump between logs, deployments, monitoring tools, CI/CD pipelines, cloud consoles, and runbooks, piecing the story together under pressure.
In this talk, I’ll share why I believe the next step for incident response isn’t another dashboard or another AI chatbot—it’s systems that can investigate alongside engineers, connect the dots across different sources, explain what they found, and recommend (or even safely carry out) the right action under clear operational guardrails.
We’ll look at what this future could look like, the engineering challenges behind it, and why trust, governance, and human oversight are just as important as intelligence if we’re going to automate production operations responsibly.",,"Paschal Ifediora is an engineer and founder of Scrubbe, an autonomous incident response platform for engineering teams. He’s passionate about distributed systems, reliability engineering, AI agents, and building systems that help engineers spend less time firefighting and more time building. His work focuses on making incident response faster, safer, and easier through intelligent automation."
